                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.55507,                 0.6093,                0.99897,                0.93206,                0.88488,                0.96301,                0.78519,                0.85526,                0.61661,                 1.0636,             0.00011212,             0.00011212,             0.00011212
                     69,                0.54257,                0.58693,                0.98959,                0.90954,                0.87129,                0.95133,                0.79611,                0.77202,                0.65392,                 1.0043,             0.00010882,             0.00010882,             0.00010882
                     70,                 0.5667,                0.59745,                 1.0025,                0.94562,                0.85819,                0.95592,                0.79067,                0.80431,                0.64769,                  1.028,             0.00010553,             0.00010553,             0.00010553
                     71,                 0.5466,                0.56323,                0.98664,                0.93274,                0.86478,                0.95133,                0.78289,                 0.8084,                0.63981,                 1.0465,             0.00010223,             0.00010223,             0.00010223
                     72,                0.55306,                0.58331,                0.99126,                0.92904,                0.88683,                0.95491,                0.79911,                0.76707,                0.61158,                 1.0136,             9.8934e-05,             9.8934e-05,             9.8934e-05
                     73,                0.55081,                0.59247,                0.99613,                0.92292,                 0.8659,                0.94883,                0.79195,                0.77462,                0.63431,                 1.0134,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     74,                0.54642,                0.57343,                0.99133,                0.91354,                0.87155,                0.95884,                0.82253,                0.68587,                 0.5971,                0.96898,             9.2341e-05,             9.2341e-05,             9.2341e-05
                     75,                0.55321,                0.55474,                0.99156,                0.90924,                0.87534,                0.94247,                0.78753,                0.76407,                0.61816,                 1.0209,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     76,                0.55118,                0.56801,                0.99418,                0.93195,                0.87128,                0.95191,                0.79789,                0.76901,                0.60664,                 1.0085,             8.5748e-05,             8.5748e-05,             8.5748e-05
                     77,                0.54183,                0.56042,                0.98526,                0.92874,                0.87007,                0.95001,                 0.7783,                0.82969,                0.62746,                 1.0488,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     78,                0.53621,                0.57122,                0.99282,                0.93185,                0.88114,                0.95485,                0.81482,                0.70481,                0.60809,                0.97251,             7.9154e-05,             7.9154e-05,             7.9154e-05
                     79,                0.53312,                0.56099,                0.99331,                0.92529,                0.87657,                0.95201,                0.78882,                0.79896,                0.62374,                  1.033,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     80,                0.53327,                0.54715,                0.98059,                 0.9244,                0.86189,                0.95052,                0.79979,                0.76934,                0.59919,                 1.0118,             7.2561e-05,             7.2561e-05,             7.2561e-05
                     81,                0.53079,                0.54085,                0.98343,                0.92741,                0.87445,                0.95347,                0.78826,                0.82363,                0.59314,                 1.0421,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     82,                0.52488,                0.53501,                0.98353,                0.91334,                0.87908,                0.94655,                0.80179,                0.74788,                0.60554,                0.99262,             6.5967e-05,             6.5967e-05,             6.5967e-05
                     83,                0.52255,                0.52799,                0.98139,                0.93344,                0.85293,                 0.9429,                0.78866,                0.77376,                0.62237,                 1.0077,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     84,                0.51655,                0.52505,                0.97821,                0.92105,                 0.8672,                0.95113,                0.79039,                0.80176,                0.60168,                 1.0297,             5.9374e-05,             5.9374e-05,             5.9374e-05
                     85,                 0.5148,                0.51628,                0.97147,                0.90718,                0.87793,                0.95126,                0.79506,                0.76265,                0.60575,                 1.0044,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     86,                0.53629,                0.54969,                0.98916,                0.93677,                 0.8613,                0.95732,                0.79634,                0.77082,                0.59914,                 1.0157,             5.2781e-05,             5.2781e-05,             5.2781e-05
                     87,                0.53093,                0.53089,                0.98427,                0.91014,                0.88536,                0.94863,                 0.8004,                0.75191,                0.58688,                  1.005,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     88,                0.51971,                0.51987,                0.97614,                0.91106,                0.87802,                0.95479,                 0.8019,                0.76255,                0.57773,                 1.0149,             4.6187e-05,             4.6187e-05,             4.6187e-05
                     89,                 0.5127,                0.51848,                0.97654,                 0.9225,                0.86236,                  0.953,                0.79833,                0.78976,                0.59243,                 1.0308,              4.289e-05,              4.289e-05,              4.289e-05
                     90,                0.51477,                0.51039,                0.97662,                 0.9002,                0.89008,                  0.957,                0.79291,                0.79486,                 0.5748,                  1.032,             3.9594e-05,             3.9594e-05,             3.9594e-05
                     91,                0.35914,                 0.3165,                0.87488,                0.91076,                0.88261,                0.94104,                0.78891,                0.76638,                0.59559,                 1.0174,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     92,                0.36073,                0.30538,                0.87794,                0.93311,                0.87829,                0.95574,                 0.7949,                0.79724,                0.58186,                 1.0365,                3.3e-05,                3.3e-05,                3.3e-05
                     93,                0.34984,                 0.2943,                0.87439,                0.92965,                0.86859,                0.95162,                0.80066,                0.76077,                0.59432,                 1.0153,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     94,                0.34501,                0.28937,                0.86835,                0.92467,                0.87951,                0.95632,                0.80663,                0.75653,                0.58856,                 1.0113,             2.6407e-05,             2.6407e-05,             2.6407e-05
                     95,                0.34948,                0.28883,                0.87305,                0.91791,                0.87551,                0.95958,                0.80411,                0.77158,                0.59033,                 1.0145,              2.311e-05,              2.311e-05,              2.311e-05
                     96,                0.34453,                0.28458,                0.87191,                0.92505,                0.87705,                0.95922,                0.79848,                0.78459,                0.58197,                 1.0211,             1.9814e-05,             1.9814e-05,             1.9814e-05
                     97,                0.34327,                 0.2842,                0.86541,                0.92017,                0.88704,                0.96371,                 0.8087,                0.76702,                0.57807,                 1.0103,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     98,                 0.3371,                0.28295,                0.86695,                0.92766,                0.86922,                0.95996,                 0.8089,                0.74539,                0.57046,                0.99737,              1.322e-05,              1.322e-05,              1.322e-05
                     99,                0.33652,                0.27851,                0.86451,                0.91622,                0.88482,                0.96006,                 0.8071,                0.75963,                0.57614,                 1.0074,             9.9234e-06,             9.9234e-06,             9.9234e-06
                    100,                0.33692,                0.27592,                0.86961,                0.92277,                 0.8763,                0.95744,                0.80973,                0.75032,                 0.5779,                 1.0039,             6.6267e-06,             6.6267e-06,             6.6267e-06
