                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.50502,                0.41117,                0.95911,                0.92024,                0.85204,                0.93016,                0.77088,                0.79653,                 0.5641,                 1.0248,             0.00023937,             0.00023937,             0.00023937
                     73,                0.50061,                0.41184,                 0.9643,                0.92315,                0.85923,                0.93359,                0.75667,                0.85701,                0.58927,                 1.0437,             0.00023806,             0.00023806,             0.00023806
                     74,                0.49604,                0.39552,                0.95688,                0.94252,                0.85363,                0.92773,                0.78185,                0.76145,                0.57418,                 0.9872,             0.00023674,             0.00023674,             0.00023674
                     75,                0.50293,                0.38769,                0.95872,                0.91566,                0.85483,                0.93261,                0.77057,                0.81724,                0.57482,                 1.0247,             0.00023542,             0.00023542,             0.00023542
                     76,                0.49793,                0.39994,                0.95812,                0.93416,                0.87006,                0.93548,                0.77361,                0.80105,                0.56914,                 1.0168,              0.0002341,              0.0002341,              0.0002341
                     77,                0.49697,                0.40129,                0.95896,                0.92339,                0.87638,                0.93203,                0.76383,                 0.8412,                0.57167,                 1.0512,             0.00023278,             0.00023278,             0.00023278
                     78,                0.49768,                0.41197,                0.96539,                0.91869,                0.88002,                0.93233,                0.77526,                0.79244,                0.55273,                 1.0139,             0.00023146,             0.00023146,             0.00023146
                     79,                0.48555,                0.39406,                0.96096,                0.91804,                0.87022,                 0.9321,                0.76992,                0.82662,                0.56982,                  1.028,             0.00023014,             0.00023014,             0.00023014
                     80,                0.49588,                0.39427,                0.95479,                0.92983,                0.85019,                0.93881,                0.77974,                0.81462,                0.55753,                 1.0238,             0.00022882,             0.00022882,             0.00022882
                     81,                  0.493,                0.39652,                0.95807,                0.93367,                0.87004,                0.93995,                0.78288,                0.81603,                0.53761,                 1.0304,             0.00022751,             0.00022751,             0.00022751
                     82,                0.48164,                0.38262,                0.95719,                0.93062,                0.86372,                0.94561,                0.78291,                 0.8246,                0.54238,                 1.0312,             0.00022619,             0.00022619,             0.00022619
                     83,                0.48656,                0.37756,                0.95984,                0.93775,                0.84352,                0.93229,                0.76312,                0.83876,                0.60226,                 1.0395,             0.00022487,             0.00022487,             0.00022487
                     84,                0.48444,                0.39697,                0.95633,                0.92313,                0.84272,                0.92977,                0.77425,                0.80209,                0.59579,                 1.0111,             0.00022355,             0.00022355,             0.00022355
                     85,                0.48268,                0.38532,                0.94806,                0.94507,                0.85179,                0.93967,                0.77802,                0.80838,                0.54998,                 1.0227,             0.00022223,             0.00022223,             0.00022223
                     86,                0.49435,                0.40256,                0.95966,                0.92498,                0.85263,                 0.9468,                0.77541,                0.84292,                0.55182,                 1.0383,             0.00022091,             0.00022091,             0.00022091
                     87,                0.49563,                0.38834,                0.95994,                0.92543,                0.87449,                0.95168,                0.80078,                0.79142,                0.54656,                 1.0132,             0.00021959,             0.00021959,             0.00021959
                     88,                0.48347,                0.38188,                0.95369,                0.93281,                0.86262,                0.93773,                0.77409,                0.83697,                0.54168,                 1.0401,             0.00021827,             0.00021827,             0.00021827
                     89,                 0.4835,                0.39117,                0.95285,                 0.9029,                0.87653,                0.93264,                0.76379,                0.84345,                0.56486,                 1.0436,             0.00021696,             0.00021696,             0.00021696
                     90,                0.48216,                0.38167,                0.95265,                0.93338,                0.86029,                0.93672,                0.77538,                0.81254,                0.56085,                 1.0157,             0.00021564,             0.00021564,             0.00021564
                     91,                0.48598,                0.39137,                0.95535,                0.91862,                0.85712,                0.93769,                0.77295,                0.84371,                0.54828,                 1.0471,             0.00021432,             0.00021432,             0.00021432
                     92,                0.47505,                0.39475,                0.95536,                0.90669,                0.86163,                0.92848,                0.76823,                0.82567,                0.56042,                 1.0217,               0.000213,               0.000213,               0.000213
                     93,                0.47396,                0.37104,                0.95209,                0.92209,                0.83768,                0.93519,                0.77596,                0.81253,                0.56298,                 1.0286,             0.00021168,             0.00021168,             0.00021168
                     94,                0.48214,                0.38537,                0.96074,                0.89742,                0.84274,                0.93199,                 0.7641,                0.85049,                0.57866,                 1.0549,             0.00021036,             0.00021036,             0.00021036
                     95,                0.47703,                 0.3703,                0.95505,                0.93242,                0.82839,                0.92547,                0.78205,                0.75173,                0.56542,                0.98062,             0.00020904,             0.00020904,             0.00020904
                     96,                0.46973,                0.37346,                0.94852,                0.90857,                0.87064,                0.92983,                0.77332,                0.82673,                0.56176,                 1.0224,             0.00020773,             0.00020773,             0.00020773
                     97,                0.47266,                0.37869,                0.95214,                0.92192,                0.86321,                0.92959,                0.77149,                0.83472,                0.54312,                 1.0251,             0.00020641,             0.00020641,             0.00020641
                     98,                0.48019,                0.38838,                0.95532,                0.91555,                0.85273,                0.93146,                0.76799,                0.82914,                0.56279,                 1.0325,             0.00020509,             0.00020509,             0.00020509
                     99,                0.48815,                0.38377,                0.96146,                0.92341,                0.86585,                0.93223,                0.77312,                0.81815,                0.53324,                 1.0162,             0.00020377,             0.00020377,             0.00020377
                    100,                0.47541,                0.37595,                0.95386,                0.93536,                0.86606,                0.92961,                0.77603,                0.78147,                0.51504,                0.99003,             0.00020245,             0.00020245,             0.00020245
                    101,                0.46946,                0.36545,                0.95358,                 0.9436,                0.85609,                0.93745,                0.77681,                0.81493,                0.53318,                 1.0149,             0.00020113,             0.00020113,             0.00020113
                    102,                 0.4752,                0.37164,                0.95101,                0.89828,                0.87525,                 0.9362,                0.77543,                 0.8381,                0.53633,                 1.0306,             0.00019981,             0.00019981,             0.00019981
                    103,                0.48419,                0.37462,                0.95411,                0.85987,                 0.8822,                0.94215,                0.78232,                0.81854,                0.56381,                 1.0293,             0.00019849,             0.00019849,             0.00019849
                    104,                  0.465,                0.35781,                0.95072,                0.91813,                0.88186,                0.94212,                0.78107,                0.80022,                0.54151,                 1.0098,             0.00019718,             0.00019718,             0.00019718
                    105,                0.47088,                0.36895,                0.95165,                0.94185,                0.84875,                0.94921,                0.79569,                0.77562,                  0.524,                0.99679,             0.00019586,             0.00019586,             0.00019586
                    106,                0.46399,                0.36846,                  0.945,                0.93857,                0.86891,                0.94116,                0.79052,                0.78195,                0.51508,                0.99349,             0.00019454,             0.00019454,             0.00019454
                    107,                0.47181,                0.37389,                0.95048,                 0.9461,                0.87425,                0.94583,                0.78219,                0.80327,                0.52118,                 1.0147,             0.00019322,             0.00019322,             0.00019322
                    108,                0.47137,                0.37117,                0.95201,                 0.9139,                0.86157,                0.93239,                0.77158,                0.82624,                0.58592,                 1.0222,              0.0001919,              0.0001919,              0.0001919
                    109,                 0.4737,                0.36642,                 0.9537,                0.92864,                0.85693,                0.94296,                0.78483,                0.78801,                 0.5397,                0.99866,             0.00019058,             0.00019058,             0.00019058
                    110,                0.47041,                0.36866,                 0.9514,                0.88099,                0.87592,                0.95152,                0.77624,                0.84566,                0.54388,                 1.0358,             0.00018926,             0.00018926,             0.00018926
                    111,                0.47207,                0.35738,                0.94388,                0.90852,                0.86807,                0.94536,                0.78863,                0.79473,                0.54743,                 1.0105,             0.00018795,             0.00018795,             0.00018795
                    112,                0.47091,                0.36527,                0.94846,                0.93415,                0.85527,                0.94685,                0.79141,                0.78211,                0.53076,                 1.0039,             0.00018663,             0.00018663,             0.00018663
                    113,                 0.4594,                0.35297,                0.94222,                0.94732,                0.85914,                0.94333,                0.79469,                0.77409,                0.52731,                0.99119,             0.00018531,             0.00018531,             0.00018531
                    114,                0.46362,                0.36602,                0.94664,                0.93449,                0.87792,                0.94996,                0.79254,                0.78871,                0.51374,                0.99807,             0.00018399,             0.00018399,             0.00018399
                    115,                0.46572,                0.37428,                0.94622,                 0.9335,                0.87128,                0.93897,                0.78189,                 0.7987,                0.55088,                 1.0138,             0.00018267,             0.00018267,             0.00018267
                    116,                 0.4689,                0.35818,                0.95039,                0.92032,                0.85433,                0.93596,                0.78309,                0.79369,                 0.5673,                 1.0017,             0.00018135,             0.00018135,             0.00018135
                    117,                0.46803,                0.37435,                0.94766,                0.91903,                0.86604,                0.94161,                0.78979,                0.78926,                 0.5702,                 1.0003,             0.00018003,             0.00018003,             0.00018003
                    118,                0.46022,                0.35099,                0.94399,                0.93171,                0.84317,                0.94274,                0.77861,                0.83152,                0.56156,                 1.0321,             0.00017871,             0.00017871,             0.00017871
                    119,                0.46918,                0.37456,                0.95224,                 0.9221,                0.84302,                 0.9384,                 0.7891,                0.78187,                 0.5803,                 1.0036,              0.0001774,              0.0001774,              0.0001774
                    120,                0.46598,                 0.3547,                0.94788,                0.93387,                0.85222,                0.93778,                 0.7776,                0.81136,                0.57617,                 1.0194,             0.00017608,             0.00017608,             0.00017608
                    121,                0.46039,                0.36173,                0.94804,                0.93462,                0.85185,                0.94532,                0.78828,                0.79565,                0.56207,                 1.0159,             0.00017476,             0.00017476,             0.00017476
                    122,                0.47262,                0.35493,                0.94793,                0.93247,                0.87212,                0.94133,                0.78561,                0.77506,                0.56049,                0.99899,             0.00017344,             0.00017344,             0.00017344
                    123,                 0.4646,                 0.3573,                 0.9464,                0.91016,                0.86303,                0.93821,                0.78884,                0.77432,                0.55933,                0.99871,             0.00017212,             0.00017212,             0.00017212
                    124,                0.46165,                0.34825,                0.94844,                0.91573,                0.86957,                0.94116,                0.78419,                0.80149,                0.56084,                 1.0165,              0.0001708,              0.0001708,              0.0001708
                    125,                  0.459,                0.35927,                0.94982,                0.93245,                0.87186,                 0.9418,                0.78505,                0.80339,                0.54713,                  1.014,             0.00016948,             0.00016948,             0.00016948
                    126,                0.45257,                0.36121,                0.94468,                0.93204,                0.87819,                0.93967,                0.77852,                0.81565,                0.54513,                 1.0144,             0.00016817,             0.00016817,             0.00016817
                    127,                 0.4574,                0.34871,                0.94253,                0.92824,                0.87073,                0.92926,                0.78223,                0.78804,                0.56053,                 1.0083,             0.00016685,             0.00016685,             0.00016685
                    128,                 0.4494,                0.33915,                0.94126,                0.93241,                 0.8607,                0.93718,                0.78238,                0.79456,                0.53818,                  1.013,             0.00016553,             0.00016553,             0.00016553
                    129,                0.46002,                 0.3631,                0.94279,                0.94455,                 0.8671,                0.94086,                0.78371,                0.77636,                0.50861,                0.99656,             0.00016421,             0.00016421,             0.00016421
                    130,                0.45682,                0.34889,                0.94187,                0.93814,                0.86845,                0.93884,                0.78565,                0.76988,                0.51026,                0.99537,             0.00016289,             0.00016289,             0.00016289
                    131,                0.45945,                0.35401,                 0.9467,                0.93143,                 0.8779,                0.95016,                0.79144,                0.78228,                0.52106,                 1.0023,             0.00016157,             0.00016157,             0.00016157
                    132,                0.45095,                0.34211,                0.94149,                 0.9465,                0.87226,                0.94642,                0.78482,                0.80055,                0.53031,                 1.0063,             0.00016025,             0.00016025,             0.00016025
                    133,                 0.4662,                 0.3589,                0.95327,                 0.9422,                0.86635,                0.95771,                0.80557,                0.76616,                0.48838,                0.98558,             0.00015893,             0.00015893,             0.00015893
                    134,                0.45028,                0.34455,                 0.9399,                0.93242,                0.87378,                0.95112,                0.79472,                0.78943,                 0.5167,                 1.0019,             0.00015762,             0.00015762,             0.00015762
                    135,                0.46321,                0.35465,                0.94455,                0.93631,                0.85841,                0.94877,                 0.7887,                0.78126,                0.53487,                0.99651,              0.0001563,              0.0001563,              0.0001563
                    136,                0.45938,                0.35835,                0.94379,                0.93499,                 0.8689,                0.94708,                0.78734,                0.79725,                0.54516,                 1.0084,             0.00015498,             0.00015498,             0.00015498
                    137,                0.45137,                0.33842,                0.94225,                 0.9176,                0.88536,                0.94664,                0.77844,                0.82929,                0.52708,                  1.037,             0.00015366,             0.00015366,             0.00015366
                    138,                0.45132,                0.32946,                0.94153,                0.92025,                0.87476,                0.94796,                0.78445,                0.80704,                0.50872,                 1.0239,             0.00015234,             0.00015234,             0.00015234
                    139,                0.45917,                0.34839,                0.94221,                0.92231,                0.87957,                0.94508,                0.79081,                0.79845,                0.53028,                 1.0194,             0.00015102,             0.00015102,             0.00015102
